time,HP (W),PV (W),EL (W)
2024-06-25 01:45:00z,10,0,196
2024-06-25 01:50:00z,10,0,195
2024-06-25 01:55:00z,10,0,194
2024-06-25 02:00:00z,10,0,230
2024-06-25 02:05:00z,10,0,215
2024-06-25 02:10:00z,10,0,214
2024-06-25 02:15:00z,10,0,185
2024-06-25 02:20:00z,10,0,144
2024-06-25 02:25:00z,10,0,145
2024-06-25 02:30:00z,10,0,144
2024-06-25 02:35:00z,10,0,145
2024-06-25 02:40:00z,10,0,145
2024-06-25 02:45:00z,10,1,220
2024-06-25 02:50:00z,10,3,217
2024-06-25 02:55:00z,10,17,217
2024-06-25 03:00:00z,10,23,165
2024-06-25 03:05:00z,10,33,152
2024-06-25 03:10:00z,10,51,151
2024-06-25 03:15:00z,10,93,150
2024-06-25 03:20:00z,10,117,151
2024-06-25 03:25:00z,10,144,182
2024-06-25 03:30:00z,10,180,223
2024-06-25 03:35:00z,10,221,223
2024-06-25 03:40:00z,10,258,185
2024-06-25 03:45:00z,10,293,175
2024-06-25 03:50:00z,10,337,189
2024-06-25 03:55:00z,10,383,187
2024-06-25 04:00:00z,13,429,187
2024-06-25 04:05:00z,14,475,184
2024-06-25 04:10:00z,14,622,270
2024-06-25 04:15:00z,14,804,255
2024-06-25 04:20:00z,13,1059,212
2024-06-25 04:25:00z,14,1354,161
2024-06-25 04:30:00z,14,1593,132
2024-06-25 04:35:00z,14,1809,133
2024-06-25 04:40:00z,14,2034,134
2024-06-25 04:45:00z,14,2231,139
2024-06-25 04:50:00z,14,2510,150
2024-06-25 04:55:00z,14,2729,208
2024-06-25 05:00:00z,14,2945,210
2024-06-25 05:05:00z,14,3153,210
2024-06-25 05:10:00z,14,3375,138
2024-06-25 05:15:00z,14,3587,153
2024-06-25 05:20:00z,14,3815,152
2024-06-25 05:25:00z,14,4015,190
2024-06-25 05:30:00z,14,4312,228
2024-06-25 05:35:00z,14,4527,275
2024-06-25 05:40:00z,14,4756,273
2024-06-25 05:45:00z,14,4967,257
2024-06-25 05:50:00z,14,5197,255
2024-06-25 05:55:00z,14,5430,211
2024-06-25 06:00:00z,14,5668,229
2024-06-25 06:05:00z,14,5950,266
2024-06-25 06:10:00z,14,6207,302
2024-06-25 06:15:00z,14,6467,327
2024-06-25 06:20:00z,14,6720,2311
2024-06-25 06:25:00z,14,7028,3428
2024-06-25 06:30:00z,14,7230,2345
2024-06-25 06:35:00z,14,7523,2243
2024-06-25 06:40:00z,14,7800,2275
2024-06-25 06:45:00z,14,8050,2261
2024-06-25 06:50:00z,14,8353,2189
2024-06-25 06:55:00z,14,8568,1509
2024-06-25 07:00:00z,14,8848,377
2024-06-25 07:05:00z,14,8949,1666
2024-06-25 07:10:00z,14,9311,2474
2024-06-25 07:15:00z,14,9496,2460
2024-06-25 07:20:00z,14,9846,1625
2024-06-25 07:25:00z,14,10060,269
2024-06-25 07:30:00z,14,10355,236
2024-06-25 07:35:00z,14,10453,220
2024-06-25 07:40:00z,14,10489,327
2024-06-25 07:45:00z,14,10952,1602
2024-06-25 07:50:00z,14,11049,2509
2024-06-25 07:55:00z,14,11494,2295
2024-06-25 08:00:00z,3074,11546,1961
2024-06-25 08:05:00z,5829,11852,501
2024-06-25 08:10:00z,3796,11914,270
2024-06-25 08:15:00z,2244,11974,71
2024-06-25 08:20:00z,3666,12033,162
2024-06-25 08:25:00z,3660,12092,217
2024-06-25 08:30:00z,3642,12134,203
2024-06-25 08:35:00z,3639,12188,221
2024-06-25 08:40:00z,3610,12242,136
2024-06-25 08:45:00z,3606,12285,114
2024-06-25 08:50:00z,3623,12344,120
2024-06-25 08:55:00z,3675,12375,102
2024-06-25 09:00:00z,825,12421,67
2024-06-25 09:05:00z,36,12477,128
2024-06-25 09:10:00z,18,12505,139
2024-06-25 09:15:00z,16,12557,141
2024-06-25 09:20:00z,16,12598,76
2024-06-25 09:25:00z,16,12642,65
2024-06-25 09:30:00z,16,12680,55
2024-06-25 09:35:00z,16,12721,53
2024-06-25 09:40:00z,16,12753,79
2024-06-25 09:45:00z,16,12823,171
2024-06-25 09:50:00z,16,12872,1048
2024-06-25 09:55:00z,16,12907,2976
2024-06-25 10:00:00z,89,12980,459
2024-06-25 10:05:00z,518,13026,177
2024-06-25 10:10:00z,3612,13098,162
2024-06-25 10:15:00z,3613,13113,181
2024-06-25 10:20:00z,3634,13142,163
2024-06-25 10:25:00z,3639,13115,160
2024-06-25 10:30:00z,3642,13164,317
2024-06-25 10:35:00z,3642,13206,284
2024-06-25 10:40:00z,3632,13340,288
2024-06-25 10:45:00z,3642,10955,61
2024-06-25 10:50:00z,3657,13169,170
2024-06-25 10:55:00z,3655,13246,251
2024-06-25 11:00:00z,508,13190,569
2024-06-25 11:05:00z,17,12454,183
2024-06-25 11:10:00z,16,7863,426
2024-06-25 11:15:00z,16,10230,414
2024-06-25 11:20:00z,16,13461,206
2024-06-25 11:25:00z,16,13456,280
2024-06-25 11:30:00z,16,9103,122
2024-06-25 11:35:00z,16,8327,0
2024-06-25 11:40:00z,16,10516,70
2024-06-25 11:45:00z,16,4250,114
2024-06-25 11:50:00z,16,11974,63
2024-06-25 11:55:00z,16,13490,110
2024-06-25 12:00:00z,94,13437,121
2024-06-25 12:05:00z,813,13424,0
2024-06-25 12:10:00z,3619,12221,52
2024-06-25 12:15:00z,3635,13286,49
2024-06-25 12:20:00z,3621,12535,8
2024-06-25 12:25:00z,3617,8778,138
2024-06-25 12:30:00z,3611,11371,54
2024-06-25 12:35:00z,3606,13286,77
2024-06-25 12:40:00z,3625,13424,134
2024-06-25 12:45:00z,3627,12208,210
2024-06-25 12:50:00z,3621,10165,267
2024-06-25 12:55:00z,2936,12084,161
2024-06-25 13:00:00z,91,12876,81
2024-06-25 13:05:00z,16,13055,0
2024-06-25 13:10:00z,16,9759,55
2024-06-25 13:15:00z,16,9460,121
2024-06-25 13:20:00z,16,13125,152
2024-06-25 13:25:00z,16,8895,144
2024-06-25 13:30:00z,16,11522,100
2024-06-25 13:35:00z,16,5640,1195
2024-06-25 13:40:00z,16,13209,25
2024-06-25 13:45:00z,16,12908,26
2024-06-25 13:50:00z,16,12821,23
2024-06-25 13:55:00z,15,7638,0
2024-06-25 14:00:00z,14,11417,44
2024-06-25 14:05:00z,14,12629,113
2024-06-25 14:10:00z,14,13183,111
2024-06-25 14:15:00z,14,6091,165
2024-06-25 14:20:00z,14,7113,81
2024-06-25 14:25:00z,14,11321,46
2024-06-25 14:30:00z,14,10615,46
2024-06-25 14:35:00z,14,10530,46
2024-06-25 14:40:00z,14,10333,48
2024-06-25 14:45:00z,14,10034,125
2024-06-25 14:50:00z,14,9547,139
2024-06-25 14:55:00z,14,8951,225
2024-06-25 15:00:00z,14,9173,131
2024-06-25 15:05:00z,14,9290,111
2024-06-25 15:10:00z,14,7796,108
2024-06-25 15:15:00z,14,6007,195
2024-06-25 15:20:00z,14,3047,678
2024-06-25 15:25:00z,14,7616,657
2024-06-25 15:30:00z,14,7437,425
2024-06-25 15:35:00z,14,7117,874
2024-06-25 15:40:00z,14,6806,773
2024-06-25 15:45:00z,14,6742,311
2024-06-25 15:50:00z,14,6394,783
2024-06-25 15:55:00z,14,5894,638
2024-06-25 16:00:00z,11,5671,561
2024-06-25 16:05:00z,10,5380,113
2024-06-25 16:10:00z,10,5113,215
2024-06-25 16:15:00z,10,4860,311
2024-06-25 16:20:00z,10,4585,312
2024-06-25 16:25:00z,10,4285,225
2024-06-25 16:30:00z,10,4048,232
2024-06-25 16:35:00z,10,3811,230
2024-06-25 16:40:00z,10,3625,251
2024-06-25 16:45:00z,10,3313,296
2024-06-25 16:50:00z,10,3085,360
2024-06-25 16:55:00z,10,2862,414
2024-06-25 17:00:00z,10,2525,368
2024-06-25 17:05:00z,10,2429,545
2024-06-25 17:10:00z,10,2332,704
2024-06-25 17:15:00z,10,2011,340
2024-06-25 17:20:00z,10,1967,498
2024-06-25 17:25:00z,10,1823,534
2024-06-25 17:30:00z,10,1710,490
2024-06-25 17:35:00z,10,1560,330
2024-06-25 17:40:00z,10,1459,326
2024-06-25 17:45:00z,10,1354,279
2024-06-25 17:50:00z,10,1271,315
2024-06-25 17:55:00z,10,1180,386
2024-06-25 18:00:00z,10,1104,399
2024-06-25 18:05:00z,10,1080,390
2024-06-25 18:10:00z,10,1007,394
2024-06-25 18:15:00z,10,933,388
2024-06-25 18:20:00z,10,866,388
2024-06-25 18:25:00z,10,797,383
2024-06-25 18:30:00z,10,731,378
2024-06-25 18:35:00z,10,673,360
2024-06-25 18:40:00z,10,616,337
2024-06-25 18:45:00z,10,559,257
2024-06-25 18:50:00z,10,502,251
2024-06-25 18:55:00z,10,409,236
2024-06-25 19:00:00z,10,342,237
2024-06-25 19:05:00z,10,305,304
2024-06-25 19:10:00z,10,265,351
2024-06-25 19:15:00z,10,223,341
2024-06-25 19:20:00z,10,187,327
2024-06-25 19:25:00z,10,153,261
2024-06-25 19:30:00z,10,127,249
2024-06-25 19:35:00z,10,102,249
2024-06-25 19:40:00z,10,83,242
2024-06-25 19:45:00z,10,61,280
2024-06-25 19:50:00z,10,40,276
2024-06-25 19:55:00z,10,7,275
2024-06-25 20:00:00z,10,32,243
2024-06-25 20:05:00z,10,23,198
2024-06-25 20:10:00z,10,17,201
2024-06-25 20:15:00z,10,9,185
2024-06-25 20:20:00z,10,5,167
2024-06-25 20:25:00z,10,0,166
2024-06-25 20:30:00z,10,0,243
2024-06-25 20:35:00z,10,0,238
2024-06-25 20:40:00z,10,0,237
2024-06-25 20:45:00z,10,0,189
2024-06-25 20:50:00z,10,0,154
2024-06-25 20:55:00z,10,0,156
2024-06-25 21:00:00z,10,0,159
2024-06-25 21:05:00z,10,0,159
2024-06-25 21:10:00z,10,0,219
2024-06-25 21:15:00z,10,0,232
2024-06-25 21:20:00z,10,0,266
2024-06-25 21:25:00z,10,0,262
2024-06-25 21:30:00z,10,0,220
2024-06-25 21:35:00z,10,0,217
2024-06-25 21:40:00z,10,0,215
2024-06-25 21:45:00z,10,0,213
2024-06-25 21:50:00z,10,0,244
2024-06-25 21:55:00z,10,0,266
2024-06-25 22:00:00z,10,0,230
2024-06-25 22:05:00z,10,0,228
2024-06-25 22:10:00z,10,0,155
2024-06-25 22:15:00z,10,0,156
2024-06-25 22:20:00z,10,0,155
2024-06-25 22:25:00z,10,0,155
2024-06-25 22:30:00z,10,0,156
2024-06-25 22:35:00z,10,0,233
2024-06-25 22:40:00z,10,0,231
2024-06-25 22:45:00z,10,0,229
2024-06-25 22:50:00z,10,0,174
2024-06-25 22:55:00z,10,0,158
2024-06-25 23:00:00z,10,0,158
2024-06-25 23:05:00z,10,0,158
2024-06-25 23:10:00z,10,0,158
2024-06-25 23:15:00z,10,0,356
2024-06-25 23:20:00z,10,0,232
2024-06-25 23:25:00z,10,0,232
2024-06-25 23:30:00z,10,0,203
2024-06-25 23:35:00z,10,0,206
2024-06-25 23:40:00z,10,0,217
2024-06-25 23:45:00z,10,0,216
2024-06-25 23:50:00z,10,0,214
2024-06-25 23:55:00z,10,0,234
2024-06-26 00:00:00z,10,0,285
2024-06-26 00:05:00z,10,0,282
2024-06-26 00:10:00z,10,0,242
2024-06-26 00:15:00z,10,0,160
2024-06-26 00:20:00z,10,0,160
2024-06-26 00:25:00z,10,0,162
2024-06-26 00:30:00z,10,0,164
2024-06-26 00:35:00z,10,0,164
2024-06-26 00:40:00z,10,0,225
2024-06-26 00:45:00z,10,0,237
2024-06-26 00:50:00z,10,0,238
2024-06-26 00:55:00z,10,0,193
2024-06-26 01:00:00z,10,0,164
2024-06-26 01:05:00z,10,0,164
2024-06-26 01:10:00z,10,0,164
2024-06-26 01:15:00z,10,0,163
2024-06-26 01:20:00z,10,0,225
2024-06-26 01:25:00z,10,0,241
2024-06-26 01:30:00z,10,0,239
2024-06-26 01:35:00z,10,0,238
2024-06-26 01:40:00z,10,0,166
2024-06-26 01:45:00z,10,0,165
2024-06-26 01:50:00z,10,0,222
2024-06-26 01:55:00z,10,0,223
2024-06-26 02:00:00z,10,0,220
2024-06-26 02:05:00z,10,0,294
2024-06-26 02:10:00z,10,0,290
2024-06-26 02:15:00z,10,0,288
2024-06-26 02:20:00z,10,0,229
2024-06-26 02:25:00z,10,0,175
2024-06-26 02:30:00z,10,0,164
2024-06-26 02:35:00z,10,0,164
2024-06-26 02:40:00z,10,0,165
2024-06-26 02:45:00z,10,1,374
2024-06-26 02:50:00z,10,3,239
2024-06-26 02:55:00z,10,18,237
2024-06-26 03:00:00z,10,23,214
2024-06-26 03:05:00z,10,32,171
2024-06-26 03:10:00z,10,43,171
2024-06-26 03:15:00z,10,88,170
2024-06-26 03:20:00z,10,111,170
2024-06-26 03:25:00z,10,136,171
2024-06-26 03:30:00z,10,171,206
2024-06-26 03:35:00z,10,207,204
2024-06-26 03:40:00z,10,245,203
2024-06-26 03:45:00z,10,283,133
2024-06-26 03:50:00z,10,314,138
2024-06-26 03:55:00z,10,367,133
2024-06-26 04:00:00z,13,414,137
2024-06-26 04:05:00z,14,459,168
2024-06-26 04:10:00z,14,618,254
2024-06-26 04:15:00z,14,782,262
2024-06-26 04:20:00z,14,1035,260
2024-06-26 04:25:00z,14,1328,236
2024-06-26 04:30:00z,14,1572,192
2024-06-26 04:35:00z,14,1783,196
2024-06-26 04:40:00z,14,2007,194
2024-06-26 04:45:00z,14,2209,149
2024-06-26 04:50:00z,14,2467,141
2024-06-26 04:55:00z,14,2697,212
2024-06-26 05:00:00z,14,2898,210
2024-06-26 05:05:00z,14,3108,210
2024-06-26 05:10:00z,14,3328,182
2024-06-26 05:15:00z,14,3558,133
2024-06-26 05:20:00z,14,3802,107
2024-06-26 05:25:00z,14,4009,113
2024-06-26 05:30:00z,14,4227,97
2024-06-26 05:35:00z,14,4448,145
2024-06-26 05:40:00z,14,4664,186
2024-06-26 05:45:00z,14,4897,211
2024-06-26 05:50:00z,14,5107,219
2024-06-26 05:55:00z,14,5388,140
2024-06-26 06:00:00z,14,5622,146
2024-06-26 06:05:00z,14,5865,140
2024-06-26 06:10:00z,14,6124,129
2024-06-26 06:15:00z,14,6390,162
2024-06-26 06:20:00z,14,6651,200
2024-06-26 06:25:00z,14,6903,362
2024-06-26 06:30:00z,14,7163,1149
2024-06-26 06:35:00z,14,7457,480
2024-06-26 06:40:00z,14,7727,65
2024-06-26 06:45:00z,14,7990,449
2024-06-26 06:50:00z,14,8268,58
2024-06-26 06:55:00z,14,8541,58
2024-06-26 07:00:00z,14,8797,133
2024-06-26 07:05:00z,14,8973,127
2024-06-26 07:10:00z,14,9284,125
2024-06-26 07:15:00z,14,9571,80
2024-06-26 07:20:00z,14,9836,46
2024-06-26 07:25:00z,14,10085,63
2024-06-26 07:30:00z,14,10314,106
2024-06-26 07:35:00z,14,10435,101
2024-06-26 07:40:00z,14,10662,140
2024-06-26 07:45:00z,14,10951,166
2024-06-26 07:50:00z,14,11231,162
2024-06-26 07:55:00z,14,11514,149
2024-06-26 08:00:00z,3301,11700,79
2024-06-26 08:05:00z,3758,11840,286
2024-06-26 08:10:00z,2207,11911,88
2024-06-26 08:15:00z,3642,11961,90
2024-06-26 08:20:00z,3639,12027,54
2024-06-26 08:25:00z,3623,12089,120
2024-06-26 08:30:00z,3618,12141,111
2024-06-26 08:35:00z,3618,12200,108
2024-06-26 08:40:00z,3630,12251,57
2024-06-26 08:45:00z,3619,12303,122
2024-06-26 08:50:00z,3617,12340,103
2024-06-26 08:55:00z,3625,12409,945
2024-06-26 09:00:00z,806,12459,2229
2024-06-26 09:05:00z,34,12500,2268
2024-06-26 09:10:00z,17,12544,2308
2024-06-26 09:15:00z,16,12578,232
2024-06-26 09:20:00z,16,12629,215
2024-06-26 09:25:00z,16,12681,157
2024-06-26 09:30:00z,16,12708,138
2024-06-26 09:35:00z,16,12714,948
2024-06-26 09:40:00z,16,12760,2228
2024-06-26 09:45:00z,16,12796,2285
2024-06-26 09:50:00z,16,12835,2344
2024-06-26 09:55:00z,16,12864,695
2024-06-26 10:00:00z,88,12915,252
2024-06-26 10:05:00z,514,12939,131
2024-06-26 10:10:00z,3596,12959,147
2024-06-26 10:15:00z,3584,12972,151
2024-06-26 10:20:00z,3664,13010,187
2024-06-26 10:25:00z,3708,13050,1336
2024-06-26 10:30:00z,3697,13340,2205
2024-06-26 10:35:00z,3689,13033,195
2024-06-26 10:40:00z,3679,13075,620
2024-06-26 10:45:00z,3716,13096,2077
2024-06-26 10:50:00z,3711,13089,759
2024-06-26 10:55:00z,3714,13130,1035
2024-06-26 11:00:00z,822,13162,226
2024-06-26 11:05:00z,17,13175,142
2024-06-26 11:10:00z,16,13199,191
2024-06-26 11:15:00z,16,13217,208
2024-06-26 11:20:00z,16,13211,254
2024-06-26 11:25:00z,16,13216,151
2024-06-26 11:30:00z,16,13071,188
2024-06-26 11:35:00z,16,11725,183
2024-06-26 11:40:00z,16,13393,224
2024-06-26 11:45:00z,16,13351,332
2024-06-26 11:50:00z,16,13215,78
2024-06-26 11:55:00z,16,13219,154
2024-06-26 12:00:00z,95,13205,187
2024-06-26 12:05:00z,532,13197,158
2024-06-26 12:10:00z,3699,13189,58
2024-06-26 12:15:00z,3701,13178,29
2024-06-26 12:20:00z,3705,13190,28
2024-06-26 12:25:00z,3718,13194,30
2024-06-26 12:30:00z,3713,13168,45
2024-06-26 12:35:00z,3713,13142,73
2024-06-26 12:40:00z,3726,13118,106
2024-06-26 12:45:00z,3720,13118,101
2024-06-26 12:50:00z,3726,13094,85
2024-06-26 12:55:00z,3732,11628,39
2024-06-26 13:00:00z,101,13021,27
2024-06-26 13:05:00z,16,13017,24
2024-06-26 13:10:00z,16,13005,24
2024-06-26 13:15:00z,16,12910,24
2024-06-26 13:20:00z,16,12918,102
2024-06-26 13:25:00z,16,12843,156
2024-06-26 13:30:00z,16,12625,155
2024-06-26 13:35:00z,16,12449,110
2024-06-26 13:40:00z,16,12183,0
2024-06-26 13:45:00z,16,12086,82
2024-06-26 13:50:00z,16,11833,82
2024-06-26 13:55:00z,16,11649,79
2024-06-26 14:00:00z,95,11556,131
2024-06-26 14:05:00z,827,11337,140
2024-06-26 14:10:00z,3708,11068,112
2024-06-26 14:15:00z,3691,10859,99
2024-06-26 14:20:00z,3681,10589,47
2024-06-26 14:25:00z,3676,10378,49
2024-06-26 14:30:00z,3689,10098,52
2024-06-26 14:35:00z,3709,9908,53
2024-06-26 14:40:00z,3693,9636,73
2024-06-26 14:45:00z,3694,9495,134
2024-06-26 14:50:00z,3703,9370,132
2024-06-26 14:55:00z,3694,5852,294
2024-06-26 15:00:00z,106,8914,67
2024-06-26 15:05:00z,16,8711,61
2024-06-26 15:10:00z,16,8696,62
2024-06-26 15:15:00z,16,7096,22
2024-06-26 15:20:00z,16,5755,166
2024-06-26 15:25:00z,16,7875,260
2024-06-26 15:30:00z,16,6760,232
2024-06-26 15:35:00z,16,5147,227
2024-06-26 15:40:00z,16,4809,226
2024-06-26 15:45:00z,16,6539,141
2024-06-26 15:50:00z,16,6199,140
2024-06-26 15:55:00z,16,5757,141
2024-06-26 16:00:00z,11,5537,146
2024-06-26 16:05:00z,10,5053,193
2024-06-26 16:10:00z,10,2465,237
2024-06-26 16:15:00z,10,4885,181
2024-06-26 16:20:00z,10,4554,159
2024-06-26 16:25:00z,10,4302,126
2024-06-26 16:30:00z,10,4095,134
2024-06-26 16:35:00z,10,3875,152
2024-06-26 16:40:00z,10,3698,148
2024-06-26 16:45:00z,10,3398,150
2024-06-26 16:50:00z,10,3097,222
2024-06-26 16:55:00z,10,2783,219
2024-06-26 17:00:00z,10,2534,222
2024-06-26 17:05:00z,10,2279,182
2024-06-26 17:10:00z,10,2105,138
2024-06-26 17:15:00z,10,1939,164
2024-06-26 17:20:00z,10,1833,131
2024-06-26 17:25:00z,10,1754,191
2024-06-26 17:30:00z,10,1666,212
2024-06-26 17:35:00z,10,1518,265
2024-06-26 17:40:00z,10,1460,263
2024-06-26 17:45:00z,10,1362,258
2024-06-26 17:50:00z,10,1256,183
2024-06-26 17:55:00z,10,1170,180
2024-06-26 18:00:00z,10,1176,181
2024-06-26 18:05:00z,10,1099,150
2024-06-26 18:10:00z,10,1019,128
2024-06-26 18:15:00z,10,953,196
2024-06-26 18:20:00z,10,888,203
2024-06-26 18:25:00z,10,821,204
2024-06-26 18:30:00z,10,751,200
2024-06-26 18:35:00z,10,688,142
2024-06-26 18:40:00z,10,625,141
2024-06-26 18:45:00z,10,569,143
2024-06-26 18:50:00z,10,512,164
2024-06-26 18:55:00z,10,446,216
2024-06-26 19:00:00z,10,374,273
2024-06-26 19:05:00z,10,326,219
2024-06-26 19:10:00z,10,281,217
2024-06-26 19:15:00z,10,244,168
2024-06-26 19:20:00z,10,190,175
2024-06-26 19:25:00z,10,166,148
2024-06-26 19:30:00z,10,138,313
2024-06-26 19:35:00z,10,112,220
2024-06-26 19:40:00z,10,89,265
2024-06-26 19:45:00z,10,67,291
2024-06-26 19:50:00z,10,47,290
2024-06-26 19:55:00z,10,34,273
2024-06-26 20:00:00z,10,34,218
2024-06-26 20:05:00z,10,25,216
2024-06-26 20:10:00z,10,18,186
2024-06-26 20:15:00z,10,11,174
2024-06-26 20:20:00z,10,4,197
2024-06-26 20:25:00z,10,0,250
2024-06-26 20:30:00z,10,0,248
2024-06-26 20:35:00z,10,0,248
2024-06-26 20:40:00z,10,0,185
2024-06-26 20:45:00z,10,0,184
2024-06-26 20:50:00z,10,0,168
2024-06-26 20:55:00z,10,0,158
2024-06-26 21:00:00z,10,0,160
2024-06-26 21:05:00z,10,0,206
2024-06-26 21:10:00z,10,0,233
2024-06-26 21:15:00z,10,0,230
2024-06-26 21:20:00z,10,0,217
2024-06-26 21:25:00z,10,0,160
2024-06-26 21:30:00z,10,0,160
2024-06-26 21:35:00z,10,0,206
2024-06-26 21:40:00z,10,0,220
2024-06-26 21:45:00z,10,0,237
2024-06-26 21:50:00z,10,0,290
2024-06-26 21:55:00z,10,0,286
2024-06-26 22:00:00z,10,0,280
2024-06-26 22:05:00z,10,0,220
2024-06-26 22:10:00z,10,0,205
2024-06-26 22:15:00z,10,0,157
2024-06-26 22:20:00z,10,0,158
2024-06-26 22:25:00z,10,0,158
2024-06-26 22:30:00z,10,0,213
2024-06-26 22:35:00z,10,0,230
2024-06-26 22:40:00z,10,0,230
2024-06-26 22:45:00z,10,0,215
2024-06-26 22:50:00z,10,0,125
2024-06-26 22:55:00z,10,0,160
2024-06-26 23:00:00z,10,0,160
2024-06-26 23:05:00z,10,0,160
2024-06-26 23:10:00z,10,0,177
2024-06-26 23:15:00z,10,0,235
2024-06-26 23:20:00z,10,0,233
2024-06-26 23:25:00z,10,0,231
2024-06-26 23:30:00z,10,0,164
2024-06-26 23:35:00z,10,0,164
2024-06-26 23:40:00z,10,0,164
2024-06-26 23:45:00z,10,0,212
2024-06-26 23:50:00z,10,0,221
2024-06-26 23:55:00z,10,0,280
2024-06-27 00:00:00z,10,0,291
2024-06-27 00:05:00z,10,0,288
2024-06-27 00:10:00z,10,0,257
2024-06-27 00:15:00z,10,0,215
2024-06-27 00:20:00z,10,0,204
2024-06-27 00:25:00z,10,0,163
2024-06-27 00:30:00z,10,0,163
2024-06-27 00:35:00z,10,0,178
2024-06-27 00:40:00z,10,0,240
2024-06-27 00:45:00z,10,0,239
2024-06-27 00:50:00z,10,0,239
2024-06-27 00:55:00z,10,0,181
2024-06-27 01:00:00z,10,0,167
2024-06-27 01:05:00z,10,0,167
2024-06-27 01:10:00z,10,0,166
2024-06-27 01:15:00z,10,0,166
2024-06-27 01:20:00z,10,0,226
2024-06-27 01:25:00z,10,0,244
2024-06-27 01:30:00z,10,0,244
2024-06-27 01:35:00z,10,0,215
2024-06-27 01:40:00z,10,0,172
2024-06-27 01:45:00z,10,0,171
2024-06-27 01:50:00z,10,0,170
2024-06-27 01:55:00z,10,0,208
2024-06-27 02:00:00z,10,0,229
2024-06-27 02:05:00z,10,0,300
2024-06-27 02:10:00z,10,0,298
2024-06-27 02:15:00z,10,0,296
2024-06-27 02:20:00z,10,0,251
2024-06-27 02:25:00z,10,0,222
2024-06-27 02:30:00z,10,0,221
2024-06-27 02:35:00z,10,0,166
2024-06-27 02:40:00z,10,0,171
2024-06-27 02:45:00z,10,1,205
2024-06-27 02:50:00z,10,1,248
2024-06-27 02:55:00z,10,11,247
2024-06-27 03:00:00z,10,22,253
2024-06-27 03:05:00z,10,29,181
2024-06-27 03:10:00z,10,41,180
2024-06-27 03:15:00z,10,79,180
2024-06-27 03:20:00z,10,106,180
2024-06-27 03:25:00z,10,129,180
2024-06-27 03:30:00z,10,165,259
2024-06-27 03:35:00z,10,211,253
2024-06-27 03:40:00z,10,267,246
2024-06-27 03:45:00z,10,339,209
2024-06-27 03:50:00z,10,413,181
2024-06-27 03:55:00z,10,480,184
2024-06-27 04:00:00z,13,534,197
2024-06-27 04:05:00z,14,608,160
2024-06-27 04:10:00z,14,723,219
2024-06-27 04:15:00z,14,809,317
2024-06-27 04:20:00z,14,1006,313
2024-06-27 04:25:00z,14,1331,308
2024-06-27 04:30:00z,14,1376,244
2024-06-27 04:35:00z,14,1442,236
2024-06-27 04:40:00z,14,1527,365
2024-06-27 04:45:00z,14,1817,363
2024-06-27 04:50:00z,14,2036,339
2024-06-27 04:55:00z,14,2233,236
2024-06-27 05:00:00z,14,2325,264
2024-06-27 05:05:00z,14,2407,265
2024-06-27 05:10:00z,14,1966,236
2024-06-27 05:15:00z,14,2404,185
2024-06-27 05:20:00z,14,2934,192
2024-06-27 05:25:00z,14,3285,191
2024-06-27 05:30:00z,14,3539,1128
2024-06-27 05:35:00z,14,3847,766
2024-06-27 05:40:00z,14,4117,254
2024-06-27 05:45:00z,14,4234,239
2024-06-27 05:50:00z,14,4479,255
2024-06-27 05:55:00z,14,4837,212
2024-06-27 06:00:00z,14,5018,210
2024-06-27 06:05:00z,14,5193,202
2024-06-27 06:10:00z,14,5510,199
2024-06-27 06:15:00z,16,5794,194
2024-06-27 06:20:00z,14,6010,228
2024-06-27 06:25:00z,14,6298,222
2024-06-27 06:30:00z,14,6561,300
2024-06-27 06:35:00z,14,6818,254
2024-06-27 06:40:00z,14,7069,224
2024-06-27 06:45:00z,14,7304,185
2024-06-27 06:50:00z,14,7501,179
2024-06-27 06:55:00z,14,7750,221
2024-06-27 07:00:00z,14,8034,579
2024-06-27 07:05:00z,14,8185,274
2024-06-27 07:10:00z,14,8441,255
2024-06-27 07:15:00z,14,8580,248
2024-06-27 07:20:00z,14,8780,243
2024-06-27 07:25:00z,14,9035,136
2024-06-27 07:30:00z,14,9176,104
2024-06-27 07:35:00z,14,9335,263
2024-06-27 07:40:00z,14,9669,346
2024-06-27 07:45:00z,14,9768,460
2024-06-27 07:50:00z,14,9890,250
2024-06-27 07:55:00z,14,10340,193
2024-06-27 08:00:00z,3405,10569,160
2024-06-27 08:05:00z,2576,10801,213
2024-06-27 08:10:00z,3375,10888,268
2024-06-27 08:15:00z,3681,11398,299
2024-06-27 08:20:00z,3681,12028,275
2024-06-27 08:25:00z,3665,8613,278
2024-06-27 08:30:00z,3647,10706,245
2024-06-27 08:35:00z,3655,11824,246
2024-06-27 08:40:00z,3655,11787,205
2024-06-27 08:45:00z,3656,12064,212
2024-06-27 08:50:00z,3646,12107,251
2024-06-27 08:55:00z,3640,12120,326
2024-06-27 09:00:00z,804,12172,267
2024-06-27 09:05:00z,29,12231,251
2024-06-27 09:10:00z,13,12279,244
2024-06-27 09:15:00z,12,12359,227
2024-06-27 09:20:00z,12,12371,328
2024-06-27 09:25:00z,12,12394,299
2024-06-27 09:30:00z,12,12423,254
2024-06-27 09:35:00z,12,12429,242
2024-06-27 09:40:00z,12,12468,186
2024-06-27 09:45:00z,12,12518,165
